Route Path,Component
*,PageNotFound
/,HomePage
/activity,ActivityPage
/agents,AgentPage
/agents/:slug,AgentDetailRoute
/agents/archive,AgentArchivePage
/agents/dashboard,AgentDashboardPage
/agents/trained,TrainedAgentsPage
/anchor/continuity,ContinuityAnchorPage
/anchor/mutations,GlossaryMutationReviewPanel
/anchor/symbolic,SymbolicAnchorAdminPage
/anchor/symbolic/:slug,SymbolicAnchorDetailPage
/arena/active,ArenaActivePage
/assistant-dashboard,AssistantDashboardPage
/assistant/:id/tutorial,AssistantTutorialPage
/assistants,AssistantList
/assistants-demos,AssistantDemoPage
/assistants/:id/aura,AssistantAuraPage
/assistants/:id/deck,PersonalityDeckBuilder
/assistants/:id/deploy,AssistantDeployPage
/assistants/:id/economy,AssistantEconomyPage
/assistants/:id/fork,AssistantForkPage
/assistants/:id/identity,AssistantIdentityPage
/assistants/:id/interface,AssistantInterfacePage
/assistants/:id/lineage,AssistantLineagePage
/assistants/:id/mythpath,AssistantMythpathPage
/assistants/:id/rebirth,AssistantMythRebirthPage
/assistants/:id/relay,AssistantRelayPage
/assistants/:id/run-task,RunTaskPage
/assistants/:id/thoughts,ThoughtLogPanel
/assistants/:id/tools,AssistantToolsPage
/assistants/:slug,AssistantDetailRoute
/assistants/:slug/affinity,ArchetypeAffinityPage
/assistants/:slug/belief,BeliefEvolutionPage
/assistants/:slug/capabilities,AssistantCapabilityEditor
/assistants/:slug/chat,ChatWithAssistantPage
/assistants/:slug/chat/knowledge,ChatWithKnowledge
/assistants/:slug/dashboard,AssistantActionDashboardPage
/assistants/:slug/delegation-trace,DelegationTracePage
/assistants/:slug/edit,EditAssistantPage
/assistants/:slug/feedback,FeedbackSummaryPage
/assistants/:slug/log_thought,AssistantThoughtLogPage
/assistants/:slug/memories,AssistantMemoriesPage
/assistants/:slug/memory,AssistantMemoryPage
/assistants/:slug/objectives,ObjectivesPage
/assistants/:slug/reflect,AssistantReflectPage
/assistants/:slug/reflect_on_self/,AssistantSelfReflectionPage
/assistants/:slug/reflections,AssistantReflectionLogsPage
/assistants/:slug/review-ingest/:doc_id,ReviewIngestPage
/assistants/:slug/sessions,AssistantSessionDashboardPage
/assistants/:slug/skillgraph,SkillGraphPage
/assistants/:slug/subagent_reflect/:event_id/,SubAgentReflectionPage
/assistants/:slug/subagent_reflect/:id,AssistantSubAgentReflectionPage
/assistants/:slug/summarize_delegations/,DelegationSummaryPage
/assistants/:slug/thought-map,AssistantThoughtMapPage
/assistants/:slug/thoughts,AssistantThoughtsPage
/assistants/:slug/thoughts/:id,AssistantThoughtDetailPage
/assistants/:slug/timeline,MemoryNavigatorPage
/assistants/council/:id,CouncilDashboardPage
/assistants/council/:id,CouncilDashboardPage
/assistants/create,CreateNewAssistantPage
/assistants/memory-chains,MemoryChainsPage
/assistants/memory/:memoryId/to-task,MemoryToTaskPage
/assistants/next-actions,NextActionsPage
/assistants/primary,PrimaryAssistantDashboard
